PlantID,Ecotype ID,Ecotype Name,TrayPosition,GerminationID,ExperimentID,GrowthLocation,Pot Number,Seed Location
35070,7000,Aa-0,4C3,BVZ0071,BVZ0073,NCRIS CH36,73,1G8
35071,7102,Do-0,4C4,BVZ0071,BVZ0073,NCRIS CH36,74,1G9
35072,7195,Kl-1,4C5,BVZ0071,BVZ0073,NCRIS CH36,75,1H1
35073,7328,Sf-2,4D1,BVZ0071,BVZ0073,NCRIS CH36,76,1D2
35074,8281,cvi,4D2,BVZ0071,BVZ0073,NCRIS CH36,77,2A3
35075,8324,Ler-1,4D3,BVZ0071,BVZ0073,NCRIS CH36,78,2A2
35076,8279,Col-0,4D4,BVZ0071,BVZ0073,NCRIS CH36,79,1A6
35077,8243,PHW-2,5A1,BVZ0071,BVZ0073,NCRIS CH36,81,1H2
35078,7030,Bch-4,5A2,BVZ0071,BVZ0073,NCRIS CH36,82,1H3
35079,8322,Kz-9,5A3,BVZ0071,BVZ0073,NCRIS CH36,83,1H4
35080,7381,Uk-4,5A4,BVZ0071,BVZ0073,NCRIS CH36,84,1H5
35081,7382,Utrecht,5A5,BVZ0071,BVZ0073,NCRIS CH36,85,1H6
35082,7507,PHW-36,5B1,BVZ0071,BVZ0073,NCRIS CH36,86,1H7
35083,328,TOU-A1-62,5B2,BVZ0071,BVZ0073,NCRIS CH36,87,1H8
35084,8389,Ta-0,5B3,BVZ0071,BVZ0073,NCRIS CH36,88,1H9
35085,7504,PHW-33,5B4,BVZ0071,BVZ0073,NCRIS CH36,89,1I1
35086,5202,UKSE06-414,5B5,BVZ0071,BVZ0073,NCRIS CH36,90,1I2
35087,8236,HSm,5C1,BVZ0071,BVZ0073,NCRIS CH36,91,1I3
35088,7277,Ob-1,5C2,BVZ0071,BVZ0073,NCRIS CH36,92,1I4
35089,8308,HR-10,5C3,BVZ0071,BVZ0073,NCRIS CH36,93,1I5
35090,7078,Co-2,5C4,BVZ0071,BVZ0073,NCRIS CH36,94,1I7
35091,8253,An-1,5C5,BVZ0071,BVZ0073,NCRIS CH36,95,1I8
35092,7328,Sf-2,5D1,BVZ0071,BVZ0073,NCRIS CH36,96,1D2
35093,8281,cvi,5D2,BVZ0071,BVZ0073,NCRIS CH36,97,2A3
35094,8324,Ler-1,5D3,BVZ0071,BVZ0073,NCRIS CH36,98,2A2
35095,8279,Col-0,5D4,BVZ0071,BVZ0073,NCRIS CH36,99,1A6
35096,8271,Bu-0,6A1,BVZ0071,BVZ0073,NCRIS CH36,101,1I9
35097,6729,CIBC-4,6A2,BVZ0071,BVZ0073,NCRIS CH36,102,2A1
35098,8324,Ler-1,6A3,BVZ0071,BVZ0073,NCRIS CH36,103,2A2
35099,8281,cvi,6A4,BVZ0071,BVZ0073,NCRIS CH36,104,2A3
35100,7021,Bla-3,6A5,BVZ0071,BVZ0073,NCRIS CH36,105,2A4
35101,6190,TDr-3,6B1,BVZ0071,BVZ0073,NCRIS CH36,106,2A6
35102,7113,Ei-4,6B2,BVZ0071,BVZ0073,NCRIS CH36,107,2A7
35103,7265,Nd-0,6B3,BVZ0071,BVZ0073,NCRIS CH36,108,2A8
35104,8258,Ba4-1,6B4,BVZ0071,BVZ0073,NCRIS CH36,109,2A9
35105,7351,Ty-0,6B5,BVZ0071,BVZ0073,NCRIS CH36,110,2B1
35106,5606,UKNW06-436,6C1,BVZ0071,BVZ0073,NCRIS CH36,111,2B2
35107,7158,Gr-5,6C2,BVZ0071,BVZ0073,NCRIS CH36,112,2B3
35108,8393,Ts-5,6C3,BVZ0071,BVZ0073,NCRIS CH36,113,2B5
35109,7110,Ede-1,6C4,BVZ0071,BVZ0073,NCRIS CH36,114,2B6
35110,6039,Hovdala-2,6C5,BVZ0071,BVZ0073,NCRIS CH36,115,2B8
35111,7328,Sf-2,6D1,BVZ0071,BVZ0073,NCRIS CH36,116,1D2
35112,8281,cvi,6D2,BVZ0071,BVZ0073,NCRIS CH36,117,2A3
35113,8324,Ler-1,6D3,BVZ0071,BVZ0073,NCRIS CH36,118,2A2
35114,8279,Col-0,6D4,BVZ0071,BVZ0073,NCRIS CH36,119,1A6
35115,8381,Sorbo,7A1,BVZ0071,BVZ0073,NCRIS CH36,122,2B9
35116,7337,Si-0,7A2,BVZ0071,BVZ0073,NCRIS CH36,123,2C1
35117,8256,Ba1-2,7A3,BVZ0071,BVZ0073,NCRIS CH36,124,2C2
35118,8247,San-2,7A4,BVZ0071,BVZ0073,NCRIS CH36,125,2C3
35119,7128,Est-0,7A5,BVZ0071,BVZ0073,NCRIS CH36,126,2C4
35120,7139,Fi-1,7B1,BVZ0071,BVZ0073,NCRIS CH36,127,2C5
35121,7178,Jm-1,7B2,BVZ0071,BVZ0073,NCRIS CH36,128,2C6
35122,7031,Bsch-0,7B3,BVZ0071,BVZ0073,NCRIS CH36,129,2C7
35123,7079,Co-3,7B4,BVZ0071,BVZ0073,NCRIS CH36,130,2C8
35124,7280,Old-1,7B5,BVZ0071,BVZ0073,NCRIS CH36,131,2C9
35125,96,LAC-5,7C1,BVZ0071,BVZ0073,NCRIS CH36,132,2D1
35126,8289,Ei-2,7C2,BVZ0071,BVZ0073,NCRIS CH36,133,2D2
35127,8374,Rsch-4,7C3,BVZ0071,BVZ0073,NCRIS CH36,134,2D3
35128,8278,Co,7C4,BVZ0071,BVZ0073,NCRIS CH36,135,2D4
35129,7229,Li-6,7C5,BVZ0071,BVZ0073,NCRIS CH36,136,2D5
35130,8281,cvi,7D2,BVZ0071,BVZ0073,NCRIS CH36,137,2A3
35131,8324,Ler-1,7D3,BVZ0071,BVZ0073,NCRIS CH36,138,2A2
35132,8279,Col-0,7D4,BVZ0071,BVZ0073,NCRIS CH36,139,1A6
35133,8395,Tu-0,8A1,BVZ0071,BVZ0073,NCRIS CH36,141,2D6
